;id;display-name;url;icon
64;mx5efb8c19b2678b000780d032;Archivos Forenses_mx;;https://images.pluto.tv/channels/5efb8c19b2678b000780d032/colorLogoPNG.png
65;mx5f230e416b68ff00075b0139;Misterios Medicos_mx;;https://images.pluto.tv/channels/5f230e416b68ff00075b0139/colorLogoPNG.png
66;mx5f23102d5e239d00074b092a;Empeños a lo bestia_mx;;https://images.pluto.tv/channels/5f23102d5e239d00074b092a/colorLogoPNG.png
67;mx5f2817d3d7573a00080f9175;Pluto TV Sci-Fi_mx;;https://images.pluto.tv/channels/5f2817d3d7573a00080f9175/colorLogoPNG.png
68;mx5f610042272f68000867685b;Misterios sin Resolver_mx;;https://images.pluto.tv/channels/5f610042272f68000867685b/colorLogoPNG.png
69;mx5f9992c685a2a80007fa414a;Dog el cazarrecompensas_mx;;https://images.pluto.tv/channels/5f9992c685a2a80007fa414a/colorLogoPNG.png
70;mx5f9afb01816137000737f799;Nosey Escándalos_mx;;https://images.pluto.tv/channels/5f9afb01816137000737f799/colorLogoPNG.png
71;mx5fcea359e533cb0007215c71;Pluto TV Filmstream_mx;;https://images.pluto.tv/channels/5fcea359e533cb0007215c71/colorLogoPNG.png
72;mx5ffcc21a432945000762d06b;Comedy Central Pluto TV_mx;;https://images.pluto.tv/channels/5ffcc21a432945000762d06b/colorLogoPNG.png
73;mx609059dc63be6e0007b4eca6;Pluto TV Cine Clásico_mx;;https://images.pluto.tv/channels/609059dc63be6e0007b4eca6/colorLogoPNG.png
74;mx609062295c2b8f0007199e7a;Pluto TV Recetas_mx;;https://images.pluto.tv/channels/609062295c2b8f0007199e7a/colorLogoPNG.png
75;mx6095ad97351eb0000754c1e6;Hells Kitchen_mx;;https://images.pluto.tv/channels/6095ad97351eb0000754c1e6/colorLogoPNG.png
76;mx609ae5cd48d3200007b0a98e;Comedy Central South Park_mx;;https://images.pluto.tv/channels/609ae5cd48d3200007b0a98e/colorLogoPNG.png
77;mx61099f2b40d0640007fc5aa2;El Encantador de Perros_mx;;https://images.pluto.tv/channels/61099f2b40d0640007fc5aa2/colorLogoPNG.png
78;mx6109a9f5531b840007a4a187;Cazador de Homicidas_mx;;https://images.pluto.tv/channels/6109a9f5531b840007a4a187/colorLogoPNG.png
79;mx6109ab25b84d6a0007504886;Pluto TV Mi Obsesión Favorita_mx;;https://images.pluto.tv/channels/6109ab25b84d6a0007504886/colorLogoPNG.png
80;mx615b9855c6b58b000724477f;Iron Chef_mx;;https://images.pluto.tv/channels/615b9855c6b58b000724477f/colorLogoPNG.png
81;mx619d59b7cbef25000728221c;Euronews Español_mx;;https://images.pluto.tv/channels/619d59b7cbef25000728221c/colorLogoPNG.png
82;ESAJ4500019AM;Comedias - Rakuten TV_;;https://tvpmlogopeu.samsungcloud.tv/platform/image/sourcelogo/vc/70/09/88/ESAJ4500019AM_20220323T082019.png
83;24 HORAS;24 HORAS_;http://www.plus.es;https://www.movistarplus.es/recorte/m-NEO/canal/LIGBA4.png
84;ARAGON TV INT;ARAGON TV INT_;http://www.plus.es;
85;LA 1;LA 1_;http://www.plus.es;
86;LA 2;LA 2_;http://www.plus.es;
87;LA SEXTA;LA SEXTA_;http://www.plus.es;
88;TCM;TCM_;http://www.plus.es;https://www.movistarplus.es/recorte/m-NEO/canal/RTESP.png
89;TNT;TNT_;http://www.plus.es;
90;DARK;DARK_;http://www.plus.es;https://archive.org/download/RedBullTVLogo/Red-Bull-TV-Logo.png
91;A y E_la;A y E_la ;https://www.movistarplus.es/recorte/n/detallegaleriah/MCANSURT1746904;https://www.movistarplus.es/recorte/n/caratula4/MCANSURP1746904
92;ESBA2200005D6;Detectives_;;https://tvpmlogopeu.samsungcloud.tv/platform/image/sourcelogo/vc/70/01/62/ESBA2200005D6_20220323T081514.png
93;ESBA1400006NP;FailArmy_;;https://tvpmlogopeu.samsungcloud.tv/platform/image/sourcelogo/vc/70/07/18/ESBA1400006NP_20220323T081553.png
94;ESAJ4500023Y5;People Are Awesome_;;https://tvpmlogopeu.samsungcloud.tv/platform/image/sourcelogo/vc/70/01/24/ESAJ4500023Y5_20220323T081726.png
95;ESAJ4500016BH;The Pet Collective_;;https://tvpmlogopeu.samsungcloud.tv/platform/image/sourcelogo/vc/70/02/55/ESAJ4500016BH_20220323T081923.png
